time,verdict,persons,helmet_ratio,conf,box,head,detector,held,image
2026-09-05 11:53:50,미착용,1,-0.671,0.59,3-158-1159-711,box,yolo,,/root/vibe/ex1/logs/helmet_0905_115049/115350_bad.jpg
2026-09-05 11:55:52,미착용,1,-0.363,0.88,585-119-1280-697,box,yolo,,/root/vibe/ex1/logs/helmet_0905_115049/115552_bad.jpg
2026-09-05 11:56:42,미착용,1,-0.355,0.79,550-257-1277-714,box,yolo,,/root/vibe/ex1/logs/helmet_0905_115049/115642_bad.jpg
2026-09-05 11:56:45,미착용,1,-0.000,0.84,282-137-894-712,box,yolo,Y,/root/vibe/ex1/logs/helmet_0905_115049/115645_bad.jpg
2026-09-05 11:57:31,미착용,1,-0.724,0.88,2-222-710-712,box,yolo,,/root/vibe/ex1/logs/helmet_0905_115049/115731_bad.jpg
2026-09-05 11:57:44,미착용,1,-0.310,0.65,0-160-414-710,box,yolo,,/root/vibe/ex1/logs/helmet_0905_115049/115744_bad.jpg
